f1,f2,f3,f4,f5,label
0.8233006127998144,0.1644218005616257,0.5930387505443472,0.618493920254378,0.8517316275462087,0
0.7829617832599594,0.11029139945575928,0.6901504016240609,0.45616677631712066,0.4175889001202686,0
0.09628203020619752,0.7208008126907934,0.5736860503807575,0.18073385263050568,0.1903821538450977,0
0.6671885854302179,0.654888201222597,0.6444451437498981,0.7836845356885072,0.509349912866151,1
0.08936166359276909,0.706466300779827,0.3224792977007307,0.30145319487717237,0.17898021869082237,0
0.1705650640925327,0.21961345968496182,0.5207937012584708,0.7900372664262425,0.6447131588289474,0
0.21541914260678774,0.14987405517873154,0.20147742815177283,0.9112979573424517,0.9154959540497829,0
0.25578265703720093,0.5916266569331423,0.5883876881408934,0.3346650358857033,0.6702931414723843,0
0.2708557131121083,0.5727650291492407,0.5775691886675854,0.9033409506115664,0.42269054999360844,0
0.28636545489770104,0.38794699209516026,0.9845202646808326,0.8512132354628601,0.7993070460759628,1
0.3120928102939309,0.6393693523918359,0.10543651707988466,0.28931340092042,0.9960292709969936,0
0.4701936171342459,0.7022626531309684,0.5026824498041068,0.036703873355008465,0.46761376909672037,0
0.1481808196875649,0.082313651199868,0.8265902328257723,0.7509998230071856,0.5220895489206552,0
0.40619442109111437,0.9405187790280335,0.056197080015168877,0.5376398442614292,0.21415156340035746,0
0.28506923441367304,0.3537721145053556,0.2995531836194988,0.176787996109397,0.4396883966761296,0
0.10025176566895166,0.3787671844430822,0.08873541314310363,0.28240216282325425,0.3061950156231791,0
0.2492425978639402,0.7621831547426455,0.3946481440476033,0.7243910912241369,0.795530480151205,0
0.15501826378118067,0.237337042228847,0.4764730601417112,0.3971961951321302,0.6510079187408347,0
0.5815425827398931,0.6036123617826024,0.958373202588819,0.5808123968100057,0.8389615542681064,1
0.38274432110198786,0.40184478438894666,0.3731412285264375,0.8662031923767404,0.6053120597811465,0
0.8937007052749865,0.5190383846931956,0.4703647522211757,0.6623152444263687,0.7251582484273017,1
0.0564596610858068,0.8922460765259428,0.11845526678299323,0.9986200054884681,0.4449320128715114,0
0.40888648288909846,0.35615318533729323,0.01771113018109749,0.5831705490729008,0.42505894032111113,0
0.5440975298535953,0.63916670953582,0.6038608978069454,0.8472556058888681,0.6527557146490808,1
0.44047007540734173,0.6903667465581389,0.3958963444709095,0.7485524245046528,0.41929100035758915,0
0.5553209875428381,0.0496985503870907,0.836359117032027,0.7544481302120898,0.25751069241833335,0
0.19131753907302207,0.788763392765583,0.0009356295481171006,0.6469863715781179,0.9390693332432406,0
0.6858343294325153,0.3796207205308135,0.20714568619836204,0.24133938829114376,0.4369949877694437,1
0.871605019904361,0.4254399486638707,0.8396556978561717,0.10570519675480017,0.7712625789262262,1
0.18543218155537122,0.7391195792106969,0.8068337499459203,0.11123872803460588,0.42102464292062647,0
0.8530799243129967,0.9944954265106533,0.30777931390917956,0.9637285168410664,0.6488863682622785,1
0.3892811807692661,0.08444939519387273,0.30561403970009327,0.4378058184047249,0.106507625267249,1
0.1726540582821524,0.9801093454175567,0.29567194723673806,0.6514647482897042,0.8815856272404066,0
0.24852330040630355,0.27346161831711846,0.086660740674119,0.6231472103423714,0.511202277732739,0
0.5963174979510544,0.9000248265500178,0.9246781953916909,0.07222160446299808,0.014770511670801345,1
0.7896751453359525,0.6571531479182302,0.9201173585066302,0.02760375853186181,0.4460111788076052,1
0.9106137279620435,0.32288701798653807,0.400744054852865,0.8609378225584154,0.4066173551139448,1
0.9686560476575583,0.8594973920828933,0.009593539108135762,0.4301873035407633,0.5844542473977858,1
0.9373470722780306,0.7317935693621086,0.3947959785038131,0.7282712445569606,0.5726967217597688,1
0.127770729432228,0.8949807343716665,0.6860840917622895,0.5284495189025924,0.608289850507911,1
0.49518171560197,0.3155409237011779,0.028177320677132855,0.9671795641892165,0.7970281106398557,0
0.3937958714766978,0.0750621540189238,0.8904364917683811,0.7486393232361571,0.16166453716195428,1
0.45316091156053784,0.2762873878949863,0.2362427115350021,0.1622187308203441,0.9811380151668061,0
0.5570305413522466,0.4957767932692645,0.09994817596739991,0.6018948984456082,0.8855808774307145,0
0.36552082882322057,0.5189372774938473,0.7594866305923055,0.1887288133692131,0.3236798007423065,1
0.4802290606228776,0.8388126315846984,0.39450603962810926,0.36277836397998964,0.2695523112745384,0
0.21735798519564098,0.062080800984195106,0.4519891786136574,0.14277182782296416,0.5966879834354671,0
0.851849667945625,0.48068824879622196,0.18527143388485534,0.09677592585775263,0.5783682444455325,0
0.5381395112741786,0.6723905913553183,0.5588794136623338,0.5181386448883811,0.9128916328170931,1
0.42140727179014414,0.9497088597109373,0.9141243396892055,0.32810822077341184,0.5926360921840794,1
0.8260446854359735,0.8389487264523048,0.7770355244622082,0.2105406917893723,0.4805680572788408,1
0.9560507499826835,0.402948366496532,0.6449404558413644,0.6835344405416696,0.9810436686797829,1
0.25309792056794767,0.6033796690353113,0.4266161663510827,0.8997269388156867,0.5905173807525315,1
0.9777069124454575,0.6288580697697003,0.8667195558410177,0.4921465564583456,0.6451414890434937,1
0.43713916100617334,0.4254853188310035,0.2132521706469701,0.4228484804394095,0.6157602732721043,0
0.09397626151260341,0.22147901525603364,0.424722378046562,0.6782474558855066,0.6301178211878852,0
